ID; A.X; A.Y; B.X; B.Y; A; L
56;-436499;-1204707;-435719;-1204947;107;816;
1437;-453839;-1194417;-453359;-1195077;143;816;
3639;-436499;-1204707;-435719;-1204947;107;816;
4377;-436499;-1204707;-435719;-1204947;107;816;
7885;-436979;-1198167;-436319;-1198647;126;816;
3997;-443309;-1199397;-442499;-1199307;83;814;
2843;-451739;-1195527;-451679;-1194717;4;812;
3306;-447749;-1199397;-447689;-1198587;4;812;
4574;-453779;-1201857;-452969;-1201797;85;812;
5094;-436859;-1203417;-436799;-1204227;175;812;
6470;-446009;-1197747;-445949;-1196937;4;812;
6858;-445109;-1201887;-445049;-1202697;175;812;
7704;-445109;-1201887;-445049;-1202697;175;812;
1974;-434549;-1197867;-434039;-1197237;38;810;
2767;-435209;-1196277;-434579;-1195767;51;810;
2998;-449339;-1202847;-448829;-1202217;38;810;
3334;-449819;-1197837;-449789;-1198647;177;810;
4060;-433919;-1198647;-433409;-1199277;141;810;
4498;-438119;-1203927;-437609;-1203297;38;810;
4818;-443849;-1198917;-443819;-1198107;2;810;
6605;-446069;-1195257;-446039;-1196067;177;810;
6885;-449489;-1203147;-449459;-1203957;177;810;
7364;-446069;-1195197;-446039;-1196007;177;810;
7429;-453779;-1194537;-453269;-1195167;141;810;
7536;-434099;-1204767;-433589;-1205397;141;810;
7603;-449489;-1203177;-449459;-1203987;177;810;
7852;-449489;-1197927;-449459;-1198737;177;810;
8159;-448439;-1196637;-448409;-1197447;177;810;
8184;-453419;-1196727;-452909;-1197357;141;810;
8663;-446339;-1197057;-446309;-1196247;2;810;
8770;-453389;-1196757;-452879;-1197387;141;810;
1945;-439379;-1196967;-438569;-1196967;90;810;
4112;-442469;-1197387;-441659;-1197387;90;810;
4244;-441509;-1197027;-440699;-1197027;90;810;
5669;-445979;-1197687;-445979;-1196877;0;810;
5794;-441509;-1197027;-440699;-1197027;90;810;
6578;-441509;-1197027;-440699;-1197027;90;810;
7868;-447449;-1199367;-447449;-1198557;0;810;
6625;-454079;-1195047;-453779;-1195797;158;807;
6734;-451859;-1204377;-451649;-1203597;15;807;
6979;-453179;-1204047;-452879;-1204797;158;807;
7169;-449849;-1197567;-449069;-1197777;105;807;
140;-435869;-1203087;-435329;-1203687;138;807;
304;-447029;-1201407;-446429;-1200867;48;807;
722;-453839;-1194507;-453299;-1195107;138;807;
905;-441389;-1201917;-440849;-1201317;41;807;
2025;-444779;-1196727;-444179;-1196187;48;807;
2995;-438509;-1204257;-437909;-1203717;48;807;
3702;-445079;-1202727;-444479;-1203267;131;807;
6326;-433709;-1198497;-433169;-1199097;138;807;
7096;-433679;-1198527;-433139;-1199127;138;807;
4203;-453299;-1196907;-452729;-1197477;135;806;
4803;-448889;-1198017;-448319;-1198587;135;806;
8081;-435179;-1196337;-434609;-1195767;45;806;
8392;-443729;-1204647;-443159;-1205217;135;806;
1242;-443069;-1197657;-442709;-1196937;26;804;
3638;-435719;-1204947;-434999;-1205307;116;804;
5960;-441479;-1202607;-440759;-1202967;116;804;
7543;-433979;-1203207;-433619;-1203927;153;804;
8531;-454799;-1200837;-454439;-1201557;153;804;
2323;-446969;-1202037;-446189;-1202217;102;800;
2975;-448139;-1203057;-447359;-1203237;102;800;
3343;-443699;-1197597;-442919;-1197777;102;800;
4781;-451619;-1198347;-450839;-1198527;102;800;
5589;-438659;-1197987;-437879;-1198167;102;800;
96;-438029;-1203897;-437369;-1204347;124;798;
4933;-445049;-1196457;-444389;-1196007;55;798;
5397;-453179;-1200717;-452519;-1201167;124;798;
5740;-435239;-1196247;-434579;-1195797;55;798;
998;-454019;-1202217;-453749;-1202967;160;797;
2456;-438629;-1200507;-437879;-1200237;70;797;
5297;-443099;-1202517;-442349;-1202787;109;797;
6982;-454019;-1202217;-453749;-1202967;160;797;
7748;-454019;-1202217;-453749;-1202967;160;797;
8362;-454019;-1202217;-453749;-1202967;160;797;
1480;-448739;-1204137;-448589;-1204917;169;794;
653;-437309;-1196397;-436619;-1196787;119;792;
2567;-446699;-1198467;-446009;-1198077;60;792;
4067;-443069;-1198137;-442679;-1198827;150;792;
4512;-441359;-1202637;-440669;-1203027;119;792;
8407;-441329;-1202697;-440639;-1203087;119;792;
897;-455069;-1202607;-454349;-1202277;65;792;
1582;-437759;-1204047;-437279;-1203417;37;792;
